id,before_0,before_1,before_2,before_3,before_4,before_5,before_6,before_7,after_0,after_1,after_2,after_3,after_4,after_5,after_6,after_7,test_before,test_after,hint
10,<span class='from'>en</span><span class='from'>tr</span><span class='from'>ap</span><span class='from'>pe</span>d,<span class='from'>la</span><span class='from'>te</span><span class='from'>ra</span><span class='from'>li</span><span class='from'>ng</span>,<span class='from'>we</span><span class='from'>al</span><span class='from'>th</span><span class='from'>in</span><span class='from'>es</span>s,<span class='from'>co</span><span class='from'>py</span><span class='from'>ri</span><span class='from'>gh</span><span class='from'>te</span>d,<span class='from'>wh</span><span class='from'>it</span><span class='from'>he</span>r,<span class='from'>di</span><span class='from'>ss</span><span class='from'>at</span><span class='from'>is</span><span class='from'>fy</span>,<span class='from'>de</span><span class='from'>mo</span><span class='from'>li</span><span class='from'>sh</span><span class='from'>in</span>g,<span class='from'>co</span><span class='from'>cc</span><span class='from'>yg</span><span class='from'>es</span>,<span class='to'>i</span><span class='to'>i</span><span class='to'>i</span><span class='to'>i</span>d,<span class='to'>i</span><span class='to'>i</span><span class='to'>i</span><span class='to'>i</span><span class='to'>i</span>,<span class='to'>i</span><span class='to'>i</span><span class='to'>i</span><span class='to'>i</span><span class='to'>i</span>s,<span class='to'>i</span><span class='to'>i</span><span class='to'>i</span><span class='to'>i</span><span class='to'>i</span>d,<span class='to'>i</span><span class='to'>i</span><span class='to'>i</span>r,<span class='to'>i</span><span class='to'>i</span><span class='to'>i</span><span class='to'>i</span><span class='to'>i</span>,<span class='to'>i</span><span class='to'>i</span><span class='to'>i</span><span class='to'>i</span><span class='to'>i</span>g,<span class='to'>i</span><span class='to'>i</span><span class='to'>i</span><span class='to'>i</span>,subcommittee,iiiiii,(no hint for this problem)
11,<span class='from'>k</span>erosine,<span class='from'>r</span>esonant,<span class='from'>f</span>izzes,<span class='from'>g</span>rotesquely,<span class='from'>i</span>nelegance,<span class='from'>u</span>nflappable,<span class='from'>o</span>vercoats,<span class='from'>b</span>anknote,<span class='to'>ru</span>erosine,<span class='to'>ru</span>esonant,<span class='to'>ru</span>izzes,<span class='to'>ru</span>rotesquely,<span class='to'>ru</span>nelegance,<span class='to'>ru</span>nflappable,<span class='to'>ru</span>vercoats,<span class='to'>ru</span>anknote,quantifies,ruuantifies,look at the <b>beginning</b> of the word
12,<span class='from'>pe</span>rcentile,<span class='from'>cl</span>ustering,<span class='from'>nu</span>dges,<span class='from'>go</span>uger,<span class='from'>so</span>nority,<span class='from'>ga</span>zetteers,<span class='from'>cl</span>othier,<span class='from'>ce</span>ntenaries,<span class='to'>peg</span>rcentile,<span class='to'>clg</span>ustering,<span class='to'>nug</span>dges,<span class='to'>gog</span>uger,<span class='to'>sog</span>nority,<span class='to'>gag</span>zetteers,<span class='to'>clg</span>othier,<span class='to'>ceg</span>ntenaries,jackrabbits,jagckrabbits,look at the <b>beginning</b> of the word</li><li>look at <b>consonants</b>
13,<span class='from'>al</span>bino,<span class='from'>ad</span>vises,<span class='from'>up</span>front,<span class='from'>un</span>ions,nun,<span class='from'>el</span>isions,<span class='from'>ex</span>ecute,foes,<span class='to'>qv</span>bino,<span class='to'>qv</span>vises,<span class='to'>qv</span>front,<span class='to'>qv</span>ions,nun,<span class='to'>qv</span>isions,<span class='to'>qv</span>ecute,foes,lavenders,lavenders,look at the <b>beginning</b> of the word</li><li>look at <b>vowels</b>
14,warm<span class='from'>t</span>h,beadies<span class='from'>t</span>,<span class='from'>t</span>ransfiguring,liabili<span class='from'>t</span>y,consor<span class='from'>t</span>ing,arc<span class='from'>t</span>ic,nor<span class='from'>t</span>heas<span class='from'>t</span>er,poly<span class='from'>t</span>heism,warm<span class='to'>ax</span>h,beadies<span class='to'>ax</span>,<span class='to'>ax</span>ransfiguring,liabili<span class='to'>ax</span>y,consor<span class='to'>ax</span>ing,arc<span class='to'>ax</span>ic,nor<span class='to'>ax</span>heas<span class='to'>ax</span>er,poly<span class='to'>ax</span>heism,electronics,elecaxronics,(no hint for this problem)
15,j<span class='from'>i</span>tt<span class='from'>e</span>r<span class='from'>i</span><span class='from'>e</span>st,f<span class='from'>i</span>l<span class='from'>i</span>gr<span class='from'>e</span><span class='from'>e</span><span class='from'>i</span>ng,cryst<span class='from'>a</span>ll<span class='from'>i</span>z<span class='from'>e</span>,gl<span class='from'>u</span><span class='from'>e</span>d,w<span class='from'>e</span><span class='from'>a</span>th<span class='from'>e</span>rs,c<span class='from'>o</span>rd<span class='from'>i</span><span class='from'>a</span>l,b<span class='from'>i</span>rthpl<span class='from'>a</span>c<span class='from'>e</span>s,<span class='from'>a</span>ss<span class='from'>i</span>gn<span class='from'>a</span>t<span class='from'>i</span><span class='from'>o</span>n,j<span class='to'>nn</span>tt<span class='to'>nn</span>r<span class='to'>nn</span><span class='to'>nn</span>st,f<span class='to'>nn</span>l<span class='to'>nn</span>gr<span class='to'>nn</span><span class='to'>nn</span><span class='to'>nn</span>ng,cryst<span class='to'>nn</span>ll<span class='to'>nn</span>z<span class='to'>nn</span>,gl<span class='to'>nn</span><span class='to'>nn</span>d,w<span class='to'>nn</span><span class='to'>nn</span>th<span class='to'>nn</span>rs,c<span class='to'>nn</span>rd<span class='to'>nn</span><span class='to'>nn</span>l,b<span class='to'>nn</span>rthpl<span class='to'>nn</span>c<span class='to'>nn</span>s,<span class='to'>nn</span>ss<span class='to'>nn</span>gn<span class='to'>nn</span>t<span class='to'>nn</span><span class='to'>nn</span>n,thine,thnnnnn,look at <b>vowels</b>
16,geogr<span class='from'>ap</span>hers,<span class='from'>al</span>lure,scr<span class='from'>ap</span>ed,wigglers,postm<span class='from'>as</span>ter,to<span class='from'>ad</span>stools,sw<span class='from'>am</span>ping,w<span class='from'>as</span>teb<span class='from'>as</span>ket,geogr<span class='to'>f</span>hers,<span class='to'>f</span>lure,scr<span class='to'>f</span>ed,wigglers,postm<span class='to'>f</span>ter,to<span class='to'>f</span>stools,sw<span class='to'>f</span>ping,w<span class='to'>f</span>teb<span class='to'>f</span>ket,waylaying,wflfing,look at <b>consonants</b>
17,<span class='from'>wa</span>shboards,<span class='from'>bo</span>ndage,<span class='from'>ev</span>enhanded,<span class='from'>cr</span>ag,<span class='from'>mo</span>uths,<span class='from'>ta</span>ilspin,<span class='from'>cr</span>amped,<span class='from'>be</span>dazzling,<span class='to'>ln</span>shboards,<span class='to'>ln</span>ndage,<span class='to'>ln</span>enhanded,<span class='to'>ln</span>ag,<span class='to'>ln</span>uths,<span class='to'>ln</span>ilspin,<span class='to'>ln</span>amped,<span class='to'>ln</span>dazzling,regime,lngime,look at the <b>beginning</b> of the word
18,seaworthy,superabundant,<span class='from'>cr</span>eeping,<span class='from'>eq</span>uivalences,<span class='from'>ab</span>loom,<span class='from'>sh</span>uttlecocking,cage,<span class='from'>st</span>imulus,seaworthy,superabundant,<span class='to'>crp</span>eeping,<span class='to'>eqp</span>uivalences,<span class='to'>abp</span>loom,<span class='to'>shp</span>uttlecocking,cage,<span class='to'>stp</span>imulus,meritocracy,meritocracy,look at the <b>beginning</b> of the word</li><li>look at <b>consonants</b>
19,spong<span class='from'>ed</span>,flowerbe<span class='from'>ds</span>,new<span class='from'>sy</span>,wind<span class='from'>up</span>,emeti<span class='from'>cs</span>,precipitatio<span class='from'>ns</span>,minera<span class='from'>ls</span>,annul<span class='from'>ar</span>,spong<span class='to'>v</span>,flowerbe<span class='to'>v</span>,new<span class='to'>v</span>,wind<span class='to'>v</span>,emeti<span class='to'>v</span>,precipitatio<span class='to'>v</span>,minera<span class='to'>v</span>,annul<span class='to'>v</span>,backtracks,backtracv,look at the <b>end</b> of the word</li><li>look at <b>consonants</b>
20,pitchforks,fr<span class='from'>e</span><span class='from'>e</span>bas<span class='from'>e</span>s,pilf<span class='from'>e</span>ring,acquirabl<span class='from'>e</span>,infid<span class='from'>e</span>ls,pur<span class='from'>e</span>n<span class='from'>e</span>ss,coachm<span class='from'>e</span>n,w<span class='from'>e</span>aponl<span class='from'>e</span>ss,pitchforks,fr<span class='to'>ee</span><span class='to'>ee</span>bas<span class='to'>ee</span>s,pilf<span class='to'>ee</span>ring,acquirabl<span class='to'>ee</span>,infid<span class='to'>ee</span>ls,pur<span class='to'>ee</span>n<span class='to'>ee</span>ss,coachm<span class='to'>ee</span>n,w<span class='to'>ee</span>aponl<span class='to'>ee</span>ss,flakiest,flakieest,(no hint for this problem)
21,<span class='from'>t</span>ripartite,<span class='from'>e</span>mpires,<span class='from'>i</span>nfotainment,<span class='from'>p</span>rotozoan,<span class='from'>m</span>ilitarize,<span class='from'>u</span>ngrudging,<span class='from'>e</span>xtensive,<span class='from'>e</span>nrichment,<span class='to'>na</span>ripartite,<span class='to'>na</span>mpires,<span class='to'>na</span>nfotainment,<span class='to'>na</span>rotozoan,<span class='to'>na</span>ilitarize,<span class='to'>na</span>ngrudging,<span class='to'>na</span>xtensive,<span class='to'>na</span>nrichment,motherless,naotherless,look at the <b>beginning</b> of the word
22,hardto<span class='from'>ps</span>,slam,bellyi<span class='from'>ng</span>,purporti<span class='from'>ng</span>,shifti<span class='from'>ly</span>,dre<span class='from'>ss</span>,intercour<span class='from'>se</span>,footno<span class='from'>te</span>,hardto<span class='to'>jg</span>,slam,bellyi<span class='to'>jg</span>,purporti<span class='to'>jg</span>,shifti<span class='to'>jg</span>,dre<span class='to'>jg</span>,intercour<span class='to'>jg</span>,footno<span class='to'>jg</span>,justest,justejg,look at the <b>end</b> of the word</li><li>look at <b>consonants</b>
23,<span class='from'>c</span><span class='from'>r</span><span class='from'>i</span><span class='from'>e</span><span class='from'>s</span>,<span class='from'>p</span><span class='from'>e</span><span class='from'>r</span><span class='from'>t</span><span class='from'>u</span><span class='from'>r</span><span class='from'>b</span><span class='from'>s</span>,<span class='from'>i</span><span class='from'>d</span><span class='from'>o</span><span class='from'>l</span><span class='from'>i</span><span class='from'>z</span><span class='from'>e</span><span class='from'>s</span>,<span class='from'>g</span><span class='from'>a</span><span class='from'>i</span><span class='from'>n</span><span class='from'>s</span><span class='from'>a</span><span class='from'>y</span><span class='from'>i</span><span class='from'>n</span><span class='from'>g</span>,<span class='from'>f</span><span class='from'>o</span><span class='from'>o</span><span class='from'>l</span><span class='from'>i</span><span class='from'>s</span><span class='from'>h</span>,<span class='from'>e</span><span class='from'>n</span><span class='from'>s</span><span class='from'>l</span><span class='from'>a</span><span class='from'>v</span><span class='from'>e</span><span class='from'>m</span><span class='from'>e</span><span class='from'>n</span><span class='from'>t</span>,<span class='from'>s</span><span class='from'>t</span><span class='from'>r</span><span class='from'>e</span><span class='from'>a</span><span class='from'>m</span><span class='from'>e</span><span class='from'>r</span><span class='from'>s</span>,<span class='from'>j</span><span class='from'>a</span><span class='from'>c</span><span class='from'>k</span><span class='from'>i</span><span class='from'>n</span><span class='from'>g</span>,<span class='to'>k</span><span class='to'>k</span><span class='to'>k</span><span class='to'>k</span><span class='to'>k</span>,<span class='to'>k</span><span class='to'>k</span><span class='to'>k</span><span class='to'>k</span><span class='to'>k</span><span class='to'>k</span><span class='to'>k</span><span class='to'>k</span>,<span class='to'>k</span><span class='to'>k</span><span class='to'>k</span><span class='to'>k</span><span class='to'>k</span><span class='to'>k</span><span class='to'>k</span><span class='to'>k</span>,<span class='to'>k</span><span class='to'>k</span><span class='to'>k</span><span class='to'>k</span><span class='to'>k</span><span class='to'>k</span><span class='to'>k</span><span class='to'>k</span><span class='to'>k</span><span class='to'>k</span>,<span class='to'>k</span><span class='to'>k</span><span class='to'>k</span><span class='to'>k</span><span class='to'>k</span><span class='to'>k</span><span class='to'>k</span>,<span class='to'>k</span><span class='to'>k</span><span class='to'>k</span><span class='to'>k</span><span class='to'>k</span><span class='to'>k</span><span class='to'>k</span><span class='to'>k</span><span class='to'>k</span><span class='to'>k</span><span class='to'>k</span>,<span class='to'>k</span><span class='to'>k</span><span class='to'>k</span><span class='to'>k</span><span class='to'>k</span><span class='to'>k</span><span class='to'>k</span><span class='to'>k</span><span class='to'>k</span>,<span class='to'>k</span><span class='to'>k</span><span class='to'>k</span><span class='to'>k</span><span class='to'>k</span><span class='to'>k</span><span class='to'>k</span>,capitol,kkkkkkk,(no hint for this problem)
24,<span class='from'>go</span>vernance,<span class='from'>co</span>uncilor,<span class='from'>ov</span>eracts,<span class='from'>co</span>urts,<span class='from'>be</span>cause,<span class='from'>ac</span>ing,<span class='from'>co</span>ntralto,<span class='from'>co</span>rnucopia,<span class='to'>gob</span>vernance,<span class='to'>cob</span>uncilor,<span class='to'>ovb</span>eracts,<span class='to'>cob</span>urts,<span class='to'>beb</span>cause,<span class='to'>acb</span>ing,<span class='to'>cob</span>ntralto,<span class='to'>cob</span>rnucopia,botches,bobtches,look at the <b>beginning</b> of the word
25,repertor<span class='from'>ie</span>s,sp<span class='from'>oo</span>ks,turnip,unfits,regaled,pat<span class='from'>ie</span>nts,n<span class='from'>oi</span>seless,c<span class='from'>ai</span>ssons,repertor<span class='to'>d</span>s,sp<span class='to'>d</span>ks,turnip,unfits,regaled,pat<span class='to'>d</span>nts,n<span class='to'>d</span>seless,c<span class='to'>d</span>ssons,humanist,humanist,look at <b>vowels</b>
26,centere<span class='from'>d</span>,peppermint<span class='from'>s</span>,correlative<span class='from'>s</span>,politicize<span class='from'>s</span>,brother<span class='from'>s</span>,capriciousnes<span class='from'>s</span>,payda<span class='from'>y</span>,nast<span class='from'>y</span>,centere<span class='to'>r</span>,peppermint<span class='to'>r</span>,correlative<span class='to'>r</span>,politicize<span class='to'>r</span>,brother<span class='to'>r</span>,capriciousnes<span class='to'>r</span>,payda<span class='to'>r</span>,nast<span class='to'>r</span>,narcissism,narcissisr,look at the <b>end</b> of the word
27,<span class='from'>s</span><span class='from'>c</span><span class='from'>r</span>ee<span class='from'>c</span><span class='from'>h</span>ie<span class='from'>r</span>,i<span class='from'>n</span>a<span class='from'>n</span>e<span class='from'>s</span><span class='from'>t</span>,a<span class='from'>c</span><span class='from'>c</span>i<span class='from'>d</span>e<span class='from'>n</span><span class='from'>t</span>a<span class='from'>l</span><span class='from'>l</span><span class='from'>y</span>,<span class='from'>c</span>a<span class='from'>r</span><span class='from'>p</span>e<span class='from'>t</span><span class='from'>b</span>a<span class='from'>g</span>,<span class='from'>c</span><span class='from'>r</span>ea<span class='from'>k</span><span class='from'>s</span>,<span class='from'>d</span>e<span class='from'>c</span>o<span class='from'>m</span><span class='from'>m</span>i<span class='from'>s</span><span class='from'>s</span>io<span class='from'>n</span>i<span class='from'>n</span><span class='from'>g</span>,<span class='from'>p</span><span class='from'>r</span>a<span class='from'>g</span><span class='from'>m</span>a<span class='from'>t</span>i<span class='from'>c</span>a<span class='from'>l</span><span class='from'>l</span><span class='from'>y</span>,<span class='from'>p</span><span class='from'>l</span>o<span class='from'>w</span>i<span class='from'>n</span><span class='from'>g</span>,<span class='to'>vi</span><span class='to'>vi</span><span class='to'>vi</span>ee<span class='to'>vi</span><span class='to'>vi</span>ie<span class='to'>vi</span>,i<span class='to'>vi</span>a<span class='to'>vi</span>e<span class='to'>vi</span><span class='to'>vi</span>,a<span class='to'>vi</span><span class='to'>vi</span>i<span class='to'>vi</span>e<span class='to'>vi</span><span class='to'>vi</span>a<span class='to'>vi</span><span class='to'>vi</span><span class='to'>vi</span>,<span class='to'>vi</span>a<span class='to'>vi</span><span class='to'>vi</span>e<span class='to'>vi</span><span class='to'>vi</span>a<span class='to'>vi</span>,<span class='to'>vi</span><span class='to'>vi</span>ea<span class='to'>vi</span><span class='to'>vi</span>,<span class='to'>vi</span>e<span class='to'>vi</span>o<span class='to'>vi</span><span class='to'>vi</span>i<span class='to'>vi</span><span class='to'>vi</span>io<span class='to'>vi</span>i<span class='to'>vi</span><span class='to'>vi</span>,<span class='to'>vi</span><span class='to'>vi</span>a<span class='to'>vi</span><span class='to'>vi</span>a<span class='to'>vi</span>i<span class='to'>vi</span>a<span class='to'>vi</span><span class='to'>vi</span><span class='to'>vi</span>,<span class='to'>vi</span><span class='to'>vi</span>o<span class='to'>vi</span>i<span class='to'>vi</span><span class='to'>vi</span>,laureate,viauvieavie,look at <b>consonants</b>
28,<span class='from'>dr</span>owsy,<span class='from'>ab</span>ounds,<span class='from'>sl</span>ogged,took,jockeyed,geneses,viaducts,mortised,<span class='to'>wt</span>owsy,<span class='to'>wt</span>ounds,<span class='to'>wt</span>ogged,took,jockeyed,geneses,viaducts,mortised,trended,wtended,look at the <b>beginning</b> of the word</li><li>look at <b>consonants</b>
29,massacr<span class='from'>ed</span>,doughn<span class='from'>ut</span>,apog<span class='from'>ee</span>,stupefyi<span class='from'>ng</span>,pl<span class='from'>ay</span>,tick<span class='from'>le</span>,draini<span class='from'>ng</span>,extremi<span class='from'>sm</span>,massacr<span class='to'>ou</span>,doughn<span class='to'>ou</span>,apog<span class='to'>ou</span>,stupefyi<span class='to'>ou</span>,pl<span class='to'>ou</span>,tick<span class='to'>ou</span>,draini<span class='to'>ou</span>,extremi<span class='to'>ou</span>,glowingly,glowingou,look at the <b>end</b> of the word
30,dissection,compoundi<span class='from'>ng</span>,strikeouts,smelti<span class='from'>ng</span>,shutdow<span class='from'>ns</span>,chitchatti<span class='from'>ng</span>,ickier,preconditio<span class='from'>ns</span>,dissection,compoundi<span class='to'>v</span>,strikeouts,smelti<span class='to'>v</span>,shutdow<span class='to'>v</span>,chitchatti<span class='to'>v</span>,ickier,preconditio<span class='to'>v</span>,baptizing,baptiziv,look at the <b>end</b> of the word
31,p<span class='from'>ro</span>duce,reimburse,t<span class='from'>ro</span>pical,c<span class='from'>lo</span>seout,<span class='from'>no</span>bler,ginned,carbides,tenpins,p<span class='to'>pg</span>duce,reimburse,t<span class='to'>pg</span>pical,c<span class='to'>pg</span>seout,<span class='to'>pg</span>bler,ginned,carbides,tenpins,escutcheons,escutcheons,look at <b>consonants</b>
32,contem<span class='from'>p</span>tible,<span class='from'>p</span>eriwinkle,glockens<span class='from'>p</span>iel,housekee<span class='from'>p</span>ers,contuses,re<span class='from'>p</span>aration,<span class='from'>p</span>rawn,lingered,contem<span class='to'>fw</span>tible,<span class='to'>fw</span>eriwinkle,glockens<span class='to'>fw</span>iel,housekee<span class='to'>fw</span>ers,contuses,re<span class='to'>fw</span>aration,<span class='to'>fw</span>rawn,lingered,evades,evades,(no hint for this problem)
33,topaz<span class='from'>es</span>,suburbs,roughhoused,nosediv<span class='from'>es</span>,bewitch<span class='from'>es</span>,shrill<span class='from'>es</span>t,schmaltzi<span class='from'>es</span>t,decompr<span class='from'>es</span>sed,topaz<span class='to'></span>,suburbs,roughhoused,nosediv<span class='to'></span>,bewitch<span class='to'></span>,shrill<span class='to'></span>t,schmaltzi<span class='to'></span>t,decompr<span class='to'></span>sed,piques,piqu,(no hint for this problem)
34,boulde<span class='from'>r</span>,calculatin<span class='from'>g</span>,descen<span class='from'>d</span>,solenoi<span class='from'>d</span>,hovercraf<span class='from'>t</span>,stepson<span class='from'>s</span>,spur<span class='from'>n</span>,unimaginativ<span class='from'>e</span>,boulde<span class='to'>rd</span>,calculatin<span class='to'>gd</span>,descen<span class='to'>dd</span>,solenoi<span class='to'>dd</span>,hovercraf<span class='to'>td</span>,stepson<span class='to'>sd</span>,spur<span class='to'>nd</span>,unimaginativ<span class='to'>ed</span>,charade,charaded,look at the <b>end</b> of the word
