id,before_0,before_1,before_2,before_3,before_4,before_5,before_6,before_7,after_0,after_1,after_2,after_3,after_4,after_5,after_6,after_7,test_before,test_after,hint
1010,thinner<span class='from'>s</span>,retrospecte<span class='from'>d</span>,manual<span class='from'>s</span>,mysteriousl<span class='from'>y</span>,jabbe<span class='from'>d</span>,snobbie<span class='from'>r</span>,salvagin<span class='from'>g</span>,thirste<span class='from'>d</span>,thinner<span class='to'>y</span>,retrospecte<span class='to'>y</span>,manual<span class='to'>y</span>,mysteriousl<span class='to'>y</span>,jabbe<span class='to'>y</span>,snobbie<span class='to'>y</span>,salvagin<span class='to'>y</span>,thirste<span class='to'>y</span>,satirists,satiristy,look at the <b>end</b> of the word
1011,ingestion,lipreadi<span class='from'>ng</span>,kickba<span class='from'>ck</span>,bina<span class='from'>ry</span>,ceili<span class='from'>ng</span>,merrine<span class='from'>ss</span>,turnkey,detachmen<span class='from'>ts</span>,ingestion,lipreadi<span class='to'>kn</span>,kickba<span class='to'>kn</span>,bina<span class='to'>kn</span>,ceili<span class='to'>kn</span>,merrine<span class='to'>kn</span>,turnkey,detachmen<span class='to'>kn</span>,negativity,negativikn,look at the <b>end</b> of the word</li><li>look at <b>consonants</b>
1012,p<span class='from'>er</span>tain,utt<span class='from'>er</span>ed,revelling,reass<span class='from'>ur</span>ance,w<span class='from'>or</span>kable,sniffles,t<span class='from'>er</span>rit<span class='from'>or</span>ials,upbringing,p<span class='to'>w</span>tain,utt<span class='to'>w</span>ed,revelling,reass<span class='to'>w</span>ance,w<span class='to'>w</span>kable,sniffles,t<span class='to'>w</span>rit<span class='to'>w</span>ials,upbringing,interluded,intwluded,look at <b>vowels</b>
1013,c<span class='from'>o</span>mmendati<span class='from'>o</span>n,familiarizati<span class='from'>o</span>n,visibly,legumin<span class='from'>o</span>us,at<span class='from'>o</span>lls,garr<span class='from'>o</span>tte,n<span class='from'>o</span>nc<span class='from'>o</span>nduct<span class='from'>o</span>r,beautificati<span class='from'>o</span>n,c<span class='to'>li</span>mmendati<span class='to'>li</span>n,familiarizati<span class='to'>li</span>n,visibly,legumin<span class='to'>li</span>us,at<span class='to'>li</span>lls,garr<span class='to'>li</span>tte,n<span class='to'>li</span>nc<span class='to'>li</span>nduct<span class='to'>li</span>r,beautificati<span class='to'>li</span>n,ignorant,ignlirant,(no hint for this problem)
1014,<span class='from'>ha</span>rping,<span class='from'>he</span>ck,<span class='from'>pe</span>rcolation,<span class='from'>di</span>scussants,tranquillizer,<span class='from'>di</span>sillusioning,oversell,<span class='from'>mo</span>nkey,<span class='to'>eha</span>rping,<span class='to'>ehe</span>ck,<span class='to'>epe</span>rcolation,<span class='to'>edi</span>scussants,tranquillizer,<span class='to'>edi</span>sillusioning,oversell,<span class='to'>emo</span>nkey,pacing,epacing,look at the <b>beginning</b> of the word</li><li>look at <b>vowels</b></li><li>look at <b>consonants</b>
1015,muse,syndicat<span class='from'>io</span>n,q<span class='from'>ua</span>drature,atoll,fl<span class='from'>uo</span>roscopes,ovary,taming,laywoman,muse,syndicat<span class='to'>h</span>n,q<span class='to'>h</span>drature,atoll,fl<span class='to'>h</span>roscopes,ovary,taming,laywoman,adenoid,adenhd,look at <b>vowels</b>
1016,t<span class='from'>ap</span>s,f<span class='from'>em</span><span class='from'>in</span><span class='from'>is</span>ts,<span class='from'>ov</span><span class='from'>er</span>sh<span class='from'>oe</span>,<span class='from'>io</span>n,<span class='from'>an</span>,t<span class='from'>ai</span>ll<span class='from'>ig</span>hts,r<span class='from'>et</span>r<span class='from'>os</span>p<span class='from'>ec</span>t<span class='from'>iv</span><span class='from'>es</span>,b<span class='from'>ea</span>st,t<span class='to'>c</span>s,f<span class='to'>c</span><span class='to'>c</span><span class='to'>c</span>ts,<span class='to'>c</span><span class='to'>c</span>sh<span class='to'>c</span>,<span class='to'>c</span>n,<span class='to'>c</span>,t<span class='to'>c</span>ll<span class='to'>c</span>hts,r<span class='to'>c</span>r<span class='to'>c</span>p<span class='to'>c</span>t<span class='to'>c</span><span class='to'>c</span>,b<span class='to'>c</span>st,roosters,rcstcs,look at <b>vowels</b>
1017,<span class='from'>br</span>ea<span class='from'>th</span>s,<span class='from'>pr</span>edete<span class='from'>rm</span>ined,a<span class='from'>pp</span>rehe<span class='from'>ns</span>ivene<span class='from'>ss</span>,<span class='from'>fr</span>eque<span class='from'>nt</span>s,<span class='from'>cr</span>yi<span class='from'>ng</span>s,na<span class='from'>st</span>i<span class='from'>ly</span>,<span class='from'>st</span>rawi<span class='from'>ng</span>,depose,<span class='to'>xbr</span>ea<span class='to'>xth</span>s,<span class='to'>xpr</span>edete<span class='to'>xrm</span>ined,a<span class='to'>xpp</span>rehe<span class='to'>xns</span>ivene<span class='to'>xss</span>,<span class='to'>xfr</span>eque<span class='to'>xnt</span>s,<span class='to'>xcr</span>yi<span class='to'>xng</span>s,na<span class='to'>xst</span>i<span class='to'>xly</span>,<span class='to'>xst</span>rawi<span class='to'>xng</span>,depose,rapids,rapixds,look at <b>consonants</b>
1018,look<span class='from'>s</span>,he<span class='from'>x</span>,lif<span class='from'>e</span>,subver<span class='from'>t</span>,mani<span class='from'>c</span>,pulchritud<span class='from'>e</span>,truthfu<span class='from'>l</span>,searche<span class='from'>r</span>,look<span class='to'>ae</span>,he<span class='to'>ae</span>,lif<span class='to'>ae</span>,subver<span class='to'>ae</span>,mani<span class='to'>ae</span>,pulchritud<span class='to'>ae</span>,truthfu<span class='to'>ae</span>,searche<span class='to'>ae</span>,setbacks,setbackae,look at the <b>end</b> of the word
1019,safeg<span class='from'>ua</span>rd,irremed<span class='from'>ia</span>bly,afforested,structure,extort<span class='from'>io</span>n,newscast,lim<span class='from'>ie</span>st,vomit,safeg<span class='to'>bua</span>rd,irremed<span class='to'>bia</span>bly,afforested,structure,extort<span class='to'>bio</span>n,newscast,lim<span class='to'>bie</span>st,vomit,exhortations,exhortatbions,look at <b>vowels</b>
1020,s<span class='from'>ma</span>sh,<span class='from'>je</span><span class='from'>we</span><span class='from'>le</span>rs,f<span class='from'>ra</span><span class='from'>te</span>r<span class='from'>ni</span>ty,c<span class='from'>ho</span>mp,psyc<span class='from'>ho</span>t<span class='from'>he</span><span class='from'>ra</span><span class='from'>pi</span>es,<span class='from'>nu</span>b,i<span class='from'>de</span>n<span class='from'>ti</span><span class='from'>ca</span>l,p<span class='from'>ro</span><span class='from'>lo</span>n<span class='from'>gi</span>ng,s<span class='to'>sy</span>sh,<span class='to'>sy</span><span class='to'>sy</span><span class='to'>sy</span>rs,f<span class='to'>sy</span><span class='to'>sy</span>r<span class='to'>sy</span>ty,c<span class='to'>sy</span>mp,psyc<span class='to'>sy</span>t<span class='to'>sy</span><span class='to'>sy</span><span class='to'>sy</span>es,<span class='to'>sy</span>b,i<span class='to'>sy</span>n<span class='to'>sy</span><span class='to'>sy</span>l,p<span class='to'>sy</span><span class='to'>sy</span>n<span class='to'>sy</span>ng,whatever,wsysysyr,look at <b>vowels</b>
1021,speakeasie<span class='from'>s</span>,clove<span class='from'>n</span>,stepfather<span class='from'>s</span>,musica<span class='from'>l</span>,plier<span class='from'>s</span>,piratica<span class='from'>l</span>,sulfur<span class='from'>s</span>,treatment<span class='from'>s</span>,speakeasie<span class='to'>nc</span>,clove<span class='to'>nc</span>,stepfather<span class='to'>nc</span>,musica<span class='to'>nc</span>,plier<span class='to'>nc</span>,piratica<span class='to'>nc</span>,sulfur<span class='to'>nc</span>,treatment<span class='to'>nc</span>,disgracefully,disgracefullnc,look at the <b>end</b> of the word</li><li>look at <b>consonants</b>
1022,pl<span class='from'>u</span>mm<span class='from'>e</span>ts,h<span class='from'>o</span>t<span class='from'>e</span>l<span class='from'>i</span><span class='from'>e</span>rs,st<span class='from'>o</span>dg<span class='from'>i</span>n<span class='from'>e</span>ss,<span class='from'>a</span>pp<span class='from'>e</span>t<span class='from'>i</span>z<span class='from'>e</span>r,n<span class='from'>i</span>tr<span class='from'>o</span>g<span class='from'>e</span>n<span class='from'>o</span><span class='from'>u</span>s,<span class='from'>a</span>lc<span class='from'>o</span>h<span class='from'>o</span>l<span class='from'>i</span>cs,v<span class='from'>e</span>g<span class='from'>e</span>t<span class='from'>a</span>bl<span class='from'>e</span>s,dr<span class='from'>i</span>ft<span class='from'>i</span>ng,pl<span class='to'>uu</span>mm<span class='to'>ue</span>ts,h<span class='to'>uo</span>t<span class='to'>ue</span>l<span class='to'>ui</span><span class='to'>ue</span>rs,st<span class='to'>uo</span>dg<span class='to'>ui</span>n<span class='to'>ue</span>ss,<span class='to'>ua</span>pp<span class='to'>ue</span>t<span class='to'>ui</span>z<span class='to'>ue</span>r,n<span class='to'>ui</span>tr<span class='to'>uo</span>g<span class='to'>ue</span>n<span class='to'>uo</span><span class='to'>uu</span>s,<span class='to'>ua</span>lc<span class='to'>uo</span>h<span class='to'>uo</span>l<span class='to'>ui</span>cs,v<span class='to'>ue</span>g<span class='to'>ue</span>t<span class='to'>ua</span>bl<span class='to'>ue</span>s,dr<span class='to'>ui</span>ft<span class='to'>ui</span>ng,roosting,ruouostuing,look at <b>vowels</b>
1023,reupholst<span class='from'>er</span>s,dissent<span class='from'>er</span>s,songwrit<span class='from'>er</span>,stink<span class='from'>er</span>s,cannons,dollar,hyp<span class='from'>er</span>bolic,deports,reupholst<span class='to'>g</span>s,dissent<span class='to'>g</span>s,songwrit<span class='to'>g</span>,stink<span class='to'>g</span>s,cannons,dollar,hyp<span class='to'>g</span>bolic,deports,slaughterers,slaughtggs,(no hint for this problem)
1024,ineffectivene<span class='from'>ss</span>,<span class='from'>sl</span>imie<span class='from'>st</span>,<span class='from'>st</span>ealth,<span class='from'>st</span>yled,chichis,carele<span class='from'>ss</span>,venial,pockmarks,ineffectivene<span class='to'>q</span>,<span class='to'>q</span>imie<span class='to'>q</span>,<span class='to'>q</span>ealth,<span class='to'>q</span>yled,chichis,carele<span class='to'>q</span>,venial,pockmarks,carnivores,carnivores,look at <b>consonants</b>
1025,technolog<span class='from'>is</span>ts,sugg<span class='from'>es</span>tively,le<span class='from'>is</span>ure,forsythi<span class='from'>as</span>,am<span class='from'>is</span>s,t<span class='from'>es</span>ts,prorat<span class='from'>es</span>,m<span class='from'>es</span>tizo<span class='from'>es</span>,technolog<span class='to'>qis</span>ts,sugg<span class='to'>qes</span>tively,le<span class='to'>qis</span>ure,forsythi<span class='to'>qas</span>,am<span class='to'>qis</span>s,t<span class='to'>qes</span>ts,prorat<span class='to'>qes</span>,m<span class='to'>qes</span>tizo<span class='to'>qes</span>,gustiest,gqustiqest,look at <b>vowels</b>
1026,dissections,<span class='from'>ag</span>gregating,rhyme,<span class='from'>ex</span>ceptions,<span class='from'>il</span>legibly,plurals,<span class='from'>in</span>frequency,<span class='from'>at</span>tributable,dissections,<span class='to'>no</span>gregating,rhyme,<span class='to'>no</span>ceptions,<span class='to'>no</span>legibly,plurals,<span class='to'>no</span>frequency,<span class='to'>no</span>tributable,cooker,cooker,look at the <b>beginning</b> of the word</li><li>look at <b>vowels</b></li><li>look at <b>consonants</b>
1027,comfo<span class='from'>rt</span>,carbo<span class='from'>ys</span>,debilitat<span class='from'>ed</span>,hel<span class='from'>ps</span>,flitt<span class='from'>ed</span>,compa<span class='from'>ct</span>,thoughtf<span class='from'>ul</span>,disar<span class='from'>ms</span>,comfo<span class='to'>grt</span>,carbo<span class='to'>gys</span>,debilitat<span class='to'>ged</span>,hel<span class='to'>gps</span>,flitt<span class='to'>ged</span>,compa<span class='to'>gct</span>,thoughtf<span class='to'>gul</span>,disar<span class='to'>gms</span>,stepbrother,stepbrothger,look at the <b>end</b> of the word</li><li>look at <b>consonants</b>
1028,archdioceses,<span class='from'>fl</span>oweriest,<span class='from'>br</span>onchi,<span class='from'>sl</span>ippers,<span class='from'>tr</span>end,interpretations,<span class='from'>hy</span>pos,<span class='from'>fr</span>igidity,archdioceses,<span class='to'>ri</span>oweriest,<span class='to'>ri</span>onchi,<span class='to'>ri</span>ippers,<span class='to'>ri</span>end,interpretations,<span class='to'>ri</span>pos,<span class='to'>ri</span>igidity,dressy,riessy,look at the <b>beginning</b> of the word</li><li>look at <b>consonants</b>
1029,org<span class='from'>y</span>,subtrac<span class='from'>t</span>,countrywoma<span class='from'>n</span>,gybe<span class='from'>d</span>,extan<span class='from'>t</span>,annoye<span class='from'>d</span>,obligatio<span class='from'>n</span>,employ<span class='from'>e</span>,org<span class='to'>ad</span>,subtrac<span class='to'>ad</span>,countrywoma<span class='to'>ad</span>,gybe<span class='to'>ad</span>,extan<span class='to'>ad</span>,annoye<span class='to'>ad</span>,obligatio<span class='to'>ad</span>,employ<span class='to'>ad</span>,ebonies,eboniead,look at the <b>end</b> of the word
1030,annuals,fana<span class='from'>ti</span>cally,chief<span class='from'>ta</span>ins,ingra<span class='from'>ti</span>a<span class='from'>te</span>s,aor<span class='from'>ta</span>s,ace<span class='from'>ta</span><span class='from'>te</span>s,spec<span class='from'>te</span>rs,hogsheads,annuals,fana<span class='to'>r</span>cally,chief<span class='to'>r</span>ins,ingra<span class='to'>r</span>a<span class='to'>r</span>s,aor<span class='to'>r</span>s,ace<span class='to'>r</span><span class='to'>r</span>s,spec<span class='to'>r</span>rs,hogsheads,lutes,lurs,look at <b>vowels</b>
1031,u<span class='from'>n</span><span class='from'>p</span><span class='from'>r</span>o<span class='from'>n</span>ou<span class='from'>n</span><span class='from'>c</span>ea<span class='from'>b</span><span class='from'>l</span>e,<span class='from'>t</span><span class='from'>r</span>a<span class='from'>g</span>i<span class='from'>c</span>a<span class='from'>l</span><span class='from'>l</span><span class='from'>y</span>,<span class='from'>r</span>e<span class='from'>m</span>o<span class='from'>n</span><span class='from'>s</span><span class='from'>t</span><span class='from'>r</span>a<span class='from'>t</span>e,<span class='from'>g</span>e<span class='from'>n</span>iu<span class='from'>s</span>,o<span class='from'>v</span>e<span class='from'>r</span><span class='from'>l</span>a<span class='from'>n</span><span class='from'>d</span>,i<span class='from'>n</span><span class='from'>c</span><span class='from'>l</span>o<span class='from'>s</span>u<span class='from'>r</span>e<span class='from'>s</span>,<span class='from'>t</span>ea<span class='from'>t</span><span class='from'>s</span>,<span class='from'>t</span>oa<span class='from'>d</span><span class='from'>y</span>,u<span class='to'>yn</span><span class='to'>yp</span><span class='to'>yr</span>o<span class='to'>yn</span>ou<span class='to'>yn</span><span class='to'>yc</span>ea<span class='to'>yb</span><span class='to'>yl</span>e,<span class='to'>yt</span><span class='to'>yr</span>a<span class='to'>yg</span>i<span class='to'>yc</span>a<span class='to'>yl</span><span class='to'>yl</span><span class='to'>yy</span>,<span class='to'>yr</span>e<span class='to'>ym</span>o<span class='to'>yn</span><span class='to'>ys</span><span class='to'>yt</span><span class='to'>yr</span>a<span class='to'>yt</span>e,<span class='to'>yg</span>e<span class='to'>yn</span>iu<span class='to'>ys</span>,o<span class='to'>yv</span>e<span class='to'>yr</span><span class='to'>yl</span>a<span class='to'>yn</span><span class='to'>yd</span>,i<span class='to'>yn</span><span class='to'>yc</span><span class='to'>yl</span>o<span class='to'>ys</span>u<span class='to'>yr</span>e<span class='to'>ys</span>,<span class='to'>yt</span>ea<span class='to'>yt</span><span class='to'>ys</span>,<span class='to'>yt</span>oa<span class='to'>yd</span><span class='to'>yy</span>,sparking,ysypayrykiynyg,look at <b>consonants</b>
1032,c<span class='from'>o</span>t<span class='from'>e</span>s,f<span class='from'>o</span><span class='from'>u</span>nd,sh<span class='from'>u</span>ttl<span class='from'>e</span>,h<span class='from'>o</span>tsh<span class='from'>o</span>ts,<span class='from'>e</span>ng<span class='from'>e</span>nd<span class='from'>e</span>r<span class='from'>e</span>d,sw<span class='from'>i</span>lls,p<span class='from'>o</span>p<span class='from'>u</span>l<span class='from'>o</span><span class='from'>u</span>s,b<span class='from'>e</span>th<span class='from'>i</span>nks,c<span class='to'>oe</span>t<span class='to'>ee</span>s,f<span class='to'>oe</span><span class='to'>ue</span>nd,sh<span class='to'>ue</span>ttl<span class='to'>ee</span>,h<span class='to'>oe</span>tsh<span class='to'>oe</span>ts,<span class='to'>ee</span>ng<span class='to'>ee</span>nd<span class='to'>ee</span>r<span class='to'>ee</span>d,sw<span class='to'>ie</span>lls,p<span class='to'>oe</span>p<span class='to'>ue</span>l<span class='to'>oe</span><span class='to'>ue</span>s,b<span class='to'>ee</span>th<span class='to'>ie</span>nks,practicalities,praectiecaelietieees,look at <b>vowels</b>
1033,skinning,disint<span class='from'>er</span><span class='from'>es</span>ts,straddl<span class='from'>ed</span>,salt<span class='from'>es</span>t,<span class='from'>ex</span>tortion,hand<span class='from'>ed</span>n<span class='from'>es</span>s,b<span class='from'>en</span>d<span class='from'>er</span>,disbarr<span class='from'>ed</span>,skinning,disint<span class='to'>s</span><span class='to'>s</span>ts,straddl<span class='to'>s</span>,salt<span class='to'>s</span>t,<span class='to'>s</span>tortion,hand<span class='to'>s</span>n<span class='to'>s</span>s,b<span class='to'>s</span>d<span class='to'>s</span>,disbarr<span class='to'>s</span>,serving,ssving,look at <b>consonants</b>
1034,chitlings,<span class='from'>i</span>ncomparable,<span class='from'>i</span>ncoming,scarring,halleluiah,<span class='from'>u</span>nspeakable,chafing,<span class='from'>a</span>bridged,chitlings,<span class='to'>mv</span>ncomparable,<span class='to'>mv</span>ncoming,scarring,halleluiah,<span class='to'>mv</span>nspeakable,chafing,<span class='to'>mv</span>bridged,hedgehogs,hedgehogs,look at the <b>beginning</b> of the word</li><li>look at <b>vowels</b>
1035,<span class='from'>a</span>ffiliating,cassinos,<span class='from'>u</span>ninstalls,<span class='from'>a</span>ttends,<span class='from'>a</span>natomic,horticultural,glassing,<span class='from'>o</span>ligarchies,<span class='to'>s</span>ffiliating,cassinos,<span class='to'>s</span>ninstalls,<span class='to'>s</span>ttends,<span class='to'>s</span>natomic,horticultural,glassing,<span class='to'>s</span>ligarchies,safeties,safeties,look at the <b>beginning</b> of the word</li><li>look at <b>vowels</b>
